sin_0001|hello|hello
sin_0002|obata|obata
sin_0003|kohe|kohe
sin_0004|idan|idan
sin_0005|kohetadha|kohetadha
sin_0006|kawadadha|kawadhadha
sin_0007|yanna|yanna
sin_0008|obe|obe
sin_0009|ticket|ticket
sin_0010|patha|patha
sin_0011|sadhudha|sadhudha
sin_0012|agaharuwadha|agaharuwadha
sin_0013|badhaadha|badhaadha
sin_0014|brahaspathinda|brahaspathinda
sin_0015|sikuraadha|sikuraadha
sin_0016|senasuraadha|senasuraadha
sin_0017|iridha|iridha
sin_0018|wen|wen
sin_0019|kara|kara
sin_0020|atha|atha
sin_0021|wee|wee
sin_0022|pawasu|pawasu
sin_0023|dhinaye|dhinaye
sin_0024|bindhuwa|bindhuwa
sin_0024|0|0
sin_0025|eka|eka
sin_0025|1|1
sin_0026|dheka|dheka
sin_0026|2|2
sin_0027|thuna|thuna
sin_0027|3|3
sin_0028|hathara|hathara
sin_0028|4|4
sin_0029|paha|paha
sin_0029|5|5
sin_0030|haya|haya
sin_0030|6|6
sin_0031|hatha|hatha
sin_0031|7|7
sin_0032|ata|ata
sin_0032|8|8
sin_0033|nawaya|nawaya
sin_0033|9|9
sin_0034|dhahaya|dhahaya
sin_0034|10|10
sin_0035|heta|heta
sin_0036|adha|adha
sin_0037|anidhdha|anidhdha
sin_0038|udhe|udhe
sin_0039|hawasa|hawasa
sin_0040|raathri|raathri
sin_0041|udhaasana|udhaasana
sin_0042|dhahawal|dhahawal
sin_0043|indhan|indhan
sin_0044|kolamba|kolamba
sin_0045|badhulla|badhulla
sin_0046|nuwara|nuwara
sin_0047|kegalla|kegalla
sin_0048|maathara|maatha
sin_0049|gaman|gaman
sin_0050|karanne|karanne
sin_0051|awashya|awashya
